file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
chin_on_hand\Frame_112.jpg,387.0,525.0,0.54816973,387.0,504.0,0.5162294,381.0,495.0,0.6442557,336.0,475.0,0.38498083,319.0,459.0,0.57084626,279.0,578.0,0.324143,216.0,539.0,0.7807868,341.0,745.0,0.27931347,179.0,777.0,0.6968899,412.0,756.0,0.26066262,397.0,778.0,0.29604542,205.0,858.0,0.37708378,122.0,880.0,0.6112221,427.0,914.0,0.3211225,409.0,947.0,0.6209755,584.0,1127.0,0.41279784,592.0,1230.0,0.53760445,0,chin_on_hand
chin_on_hand\Frame_113.jpg,389.0,524.0,0.538162,388.0,504.0,0.5260261,383.0,494.0,0.6748241,336.0,475.0,0.41097435,319.0,458.0,0.56435764,280.0,579.0,0.35901338,216.0,538.0,0.77760756,341.0,744.0,0.27450225,179.0,777.0,0.6901856,355.0,580.0,0.66716385,399.0,780.0,0.31551436,189.0,855.0,0.31180635,119.0,877.0,0.5826843,426.0,916.0,0.3230356,410.0,944.0,0.67564327,597.0,1134.0,0.49963725,592.0,1229.0,0.55109346,0,chin_on_hand
chin_on_hand\Frame_114.jpg,390.0,522.0,0.5390693,388.0,503.0,0.49825072,384.0,493.0,0.6927029,336.0,474.0,0.42114002,320.0,457.0,0.57945025,277.0,573.0,0.37932006,216.0,536.0,0.7621487,337.0,747.0,0.29238465,179.0,779.0,0.7263265,404.0,759.0,0.24038385,402.0,774.0,0.3427319,206.0,851.0,0.42563438,124.0,877.0,0.52119863,477.0,904.0,0.12110473,410.0,947.0,0.6567824,582.0,1128.0,0.45037442,591.0,1231.0,0.5380696,0,chin_on_hand
chin_on_hand\Frame_115.jpg,388.0,525.0,0.5837239,386.0,504.0,0.58388746,383.0,495.0,0.69844854,336.0,476.0,0.5825622,319.0,459.0,0.6054632,277.0,572.0,0.44996762,218.0,537.0,0.7591662,344.0,745.0,0.29104555,180.0,779.0,0.67428195,360.0,581.0,0.7178309,403.0,778.0,0.2975461,197.0,846.0,0.5369114,116.0,872.0,0.5448654,426.0,914.0,0.32888708,410.0,944.0,0.7268441,578.0,1140.0,0.29198387,589.0,1228.0,0.59701514,0,chin_on_hand
chin_on_hand\Frame_116.jpg,387.0,525.0,0.54055643,387.0,504.0,0.5086981,382.0,495.0,0.65503466,338.0,476.0,0.36676386,320.0,460.0,0.5900761,281.0,580.0,0.3517388,216.0,540.0,0.78145313,366.0,741.0,0.26139218,180.0,780.0,0.69515884,358.0,580.0,0.64587766,406.0,778.0,0.24960154,214.0,859.0,0.49717125,126.0,883.0,0.65060866,431.0,910.0,0.36167222,411.0,944.0,0.6460539,596.0,1135.0,0.4840944,590.0,1229.0,0.5721353,0,chin_on_hand
chin_on_hand\Frame_117.jpg,385.0,527.0,0.5628284,386.0,505.0,0.56832635,382.0,496.0,0.6614422,336.0,475.0,0.40800714,320.0,459.0,0.61123896,280.0,577.0,0.33252487,217.0,538.0,0.78042006,341.0,747.0,0.27613118,181.0,779.0,0.71951735,357.0,582.0,0.6451181,403.0,780.0,0.26345867,213.0,857.0,0.47754225,129.0,880.0,0.6148677,429.0,910.0,0.36155525,409.0,945.0,0.62599874,577.0,1140.0,0.2965996,588.0,1228.0,0.59392107,0,chin_on_hand
chin_on_hand\Frame_118.jpg,390.0,521.0,0.5097622,389.0,502.0,0.42154747,382.0,491.0,0.6461688,341.0,477.0,0.33842188,323.0,458.0,0.529786,282.0,579.0,0.31883737,216.0,542.0,0.7794694,367.0,744.0,0.26172933,181.0,779.0,0.6651894,359.0,582.0,0.6520456,401.0,784.0,0.22347263,214.0,858.0,0.46719575,125.0,884.0,0.63118565,457.0,897.0,0.2544724,408.0,944.0,0.62023276,582.0,1126.0,0.45884958,589.0,1230.0,0.53873706,0,chin_on_hand
chin_on_hand\Frame_12.jpg,386.0,528.0,0.5395583,386.0,506.0,0.5599133,383.0,499.0,0.6546352,336.0,475.0,0.38008428,321.0,459.0,0.6183492,272.0,568.0,0.32532635,221.0,536.0,0.7048794,337.0,729.0,0.25375974,178.0,779.0,0.73191,401.0,757.0,0.27569544,400.0,774.0,0.3607926,204.0,857.0,0.36776435,129.0,881.0,0.60497046,428.0,910.0,0.38251486,409.0,946.0,0.6493688,582.0,1123.0,0.4769086,588.0,1228.0,0.6304517,0,chin_on_hand
chin_on_hand\Frame_120.jpg,388.0,521.0,0.5212853,388.0,501.0,0.5475971,381.0,491.0,0.640415,337.0,476.0,0.38573214,321.0,460.0,0.60309994,280.0,579.0,0.3182345,218.0,540.0,0.72699285,345.0,745.0,0.25779882,179.0,778.0,0.68808055,358.0,579.0,0.6783333,403.0,782.0,0.2598701,195.0,859.0,0.31650493,119.0,880.0,0.6435348,454.0,895.0,0.25405654,410.0,944.0,0.6749909,582.0,1128.0,0.45312843,590.0,1226.0,0.57670486,0,chin_on_hand
chin_on_hand\Frame_121.jpg,387.0,524.0,0.5500183,387.0,503.0,0.52749693,381.0,494.0,0.6552124,338.0,478.0,0.2957705,324.0,462.0,0.61566514,281.0,573.0,0.40610337,216.0,540.0,0.8066369,373.0,742.0,0.27908507,181.0,779.0,0.69068444,361.0,578.0,0.6990245,408.0,782.0,0.24814107,217.0,859.0,0.48129138,124.0,879.0,0.5750252,432.0,913.0,0.37795708,409.0,945.0,0.66441965,583.0,1137.0,0.24021384,588.0,1229.0,0.5928392,0,chin_on_hand
chin_on_hand\Frame_122.jpg,384.0,528.0,0.56241786,385.0,506.0,0.5871967,381.0,498.0,0.62866366,336.0,476.0,0.39458856,320.0,461.0,0.6133753,275.0,573.0,0.35834643,218.0,537.0,0.76327574,365.0,742.0,0.26916566,180.0,779.0,0.7018343,357.0,583.0,0.68548024,408.0,779.0,0.24643782,203.0,855.0,0.36519572,121.0,877.0,0.59578073,428.0,910.0,0.35255638,406.0,944.0,0.6409449,580.0,1140.0,0.25954327,589.0,1230.0,0.5559919,0,chin_on_hand
chin_on_hand\Frame_124.jpg,385.0,528.0,0.57241476,386.0,506.0,0.5911448,381.0,497.0,0.6285689,337.0,478.0,0.29011968,319.0,461.0,0.5954787,283.0,579.0,0.32795152,219.0,538.0,0.77430487,368.0,743.0,0.28715712,179.0,781.0,0.69727564,359.0,582.0,0.70485234,410.0,780.0,0.24698915,203.0,857.0,0.39053285,117.0,881.0,0.6395782,430.0,911.0,0.3608177,407.0,945.0,0.62109727,597.0,1136.0,0.49288172,588.0,1230.0,0.61168814,0,chin_on_hand
chin_on_hand\Frame_125.jpg,385.0,527.0,0.5764549,385.0,505.0,0.59645,381.0,496.0,0.65821505,334.0,474.0,0.47233325,321.0,459.0,0.6286737,276.0,572.0,0.40828875,219.0,536.0,0.7541564,344.0,745.0,0.28210768,179.0,778.0,0.69492793,357.0,581.0,0.70859706,405.0,780.0,0.23867214,202.0,851.0,0.5066849,117.0,877.0,0.5983695,429.0,909.0,0.35705456,410.0,944.0,0.6569921,581.0,1128.0,0.42397648,589.0,1229.0,0.5721317,0,chin_on_hand
chin_on_hand\Frame_126.jpg,385.0,526.0,0.5633843,385.0,504.0,0.55693054,381.0,495.0,0.6619649,335.0,474.0,0.44339558,321.0,458.0,0.6161363,260.0,558.0,0.5166159,220.0,536.0,0.74633944,340.0,747.0,0.2821913,179.0,779.0,0.71177447,357.0,583.0,0.6828995,404.0,780.0,0.26905945,200.0,850.0,0.4998896,118.0,878.0,0.5794953,454.0,893.0,0.23651108,410.0,943.0,0.6443992,582.0,1125.0,0.45263848,589.0,1230.0,0.5413719,0,chin_on_hand
chin_on_hand\Frame_127.jpg,389.0,524.0,0.53869843,387.0,503.0,0.5058682,383.0,494.0,0.69363236,336.0,474.0,0.44461173,322.0,459.0,0.64518374,273.0,572.0,0.3613755,219.0,537.0,0.7445041,347.0,744.0,0.27700463,180.0,780.0,0.71841884,357.0,581.0,0.68357235,401.0,779.0,0.26482275,200.0,849.0,0.48335534,116.0,877.0,0.57940114,428.0,911.0,0.34528506,406.0,945.0,0.60275424,569.0,1131.0,0.23547882,586.0,1227.0,0.5627678,0,chin_on_hand
chin_on_hand\Frame_128.jpg,389.0,523.0,0.52587986,388.0,503.0,0.4492749,382.0,494.0,0.6614958,340.0,475.0,0.3743415,321.0,459.0,0.5874349,275.0,572.0,0.35705847,219.0,540.0,0.7123722,363.0,742.0,0.25400028,180.0,777.0,0.67048305,355.0,581.0,0.6377164,404.0,779.0,0.2803009,200.0,855.0,0.36451405,117.0,879.0,0.5763385,485.0,890.0,0.16322976,408.0,947.0,0.64548945,596.0,1134.0,0.48215553,590.0,1228.0,0.5409126,0,chin_on_hand
chin_on_hand\Frame_129.jpg,386.0,527.0,0.56627274,386.0,504.0,0.5405653,382.0,496.0,0.6886569,336.0,473.0,0.42965302,322.0,460.0,0.6436765,281.0,578.0,0.3310401,219.0,538.0,0.73750114,346.0,745.0,0.2676887,180.0,782.0,0.74220157,357.0,579.0,0.69287074,402.0,779.0,0.29365638,192.0,856.0,0.30463204,116.0,881.0,0.6212989,430.0,910.0,0.37219894,410.0,941.0,0.6228399,596.0,1133.0,0.53540164,588.0,1227.0,0.573656,0,chin_on_hand
chin_on_hand\Frame_13.jpg,384.0,533.0,0.5198466,385.0,510.0,0.6297709,380.0,503.0,0.5243509,338.0,477.0,0.45437652,322.0,461.0,0.6695789,273.0,567.0,0.34208703,220.0,538.0,0.72442806,342.0,727.0,0.25425845,180.0,780.0,0.72695744,403.0,757.0,0.2688149,401.0,777.0,0.29643673,216.0,852.0,0.5364558,129.0,881.0,0.6190368,429.0,910.0,0.31084594,411.0,946.0,0.6774786,581.0,1127.0,0.4741339,589.0,1230.0,0.5800402,0,chin_on_hand
chin_on_hand\Frame_130.jpg,385.0,529.0,0.5654175,385.0,506.0,0.5888134,382.0,498.0,0.6604818,337.0,475.0,0.44375974,322.0,461.0,0.67450666,277.0,569.0,0.3903294,220.0,537.0,0.75124454,346.0,746.0,0.2659288,178.0,779.0,0.7195428,358.0,580.0,0.7010941,400.0,783.0,0.2854014,205.0,850.0,0.44987845,121.0,876.0,0.54923594,431.0,912.0,0.37472364,408.0,944.0,0.6235977,582.0,1141.0,0.2690326,588.0,1227.0,0.57438445,0,chin_on_hand
chin_on_hand\Frame_131.jpg,385.0,528.0,0.567737,385.0,505.0,0.5635228,381.0,498.0,0.6520374,337.0,477.0,0.4837887,321.0,462.0,0.65375924,276.0,571.0,0.38506573,217.0,545.0,0.569188,349.0,745.0,0.24790108,182.0,782.0,0.74761057,359.0,579.0,0.7225047,402.0,781.0,0.25520453,215.0,851.0,0.5388732,123.0,877.0,0.5242678,430.0,911.0,0.34405524,408.0,944.0,0.60999364,581.0,1128.0,0.45139018,587.0,1228.0,0.535748,0,chin_on_hand
chin_on_hand\Frame_132.jpg,385.0,529.0,0.59418356,385.0,505.0,0.6428516,381.0,498.0,0.6608125,335.0,477.0,0.621424,319.0,461.0,0.65105337,286.0,579.0,0.39361194,214.0,540.0,0.65415454,349.0,747.0,0.28851756,181.0,783.0,0.7489906,358.0,580.0,0.7515043,405.0,782.0,0.29390863,200.0,851.0,0.55270916,107.0,878.0,0.56399274,430.0,912.0,0.38243055,410.0,944.0,0.66613925,597.0,1133.0,0.5370116,588.0,1229.0,0.59166443,0,chin_on_hand
chin_on_hand\Frame_134.jpg,386.0,528.0,0.61933845,385.0,504.0,0.59714127,382.0,496.0,0.690853,335.0,477.0,0.60705155,320.0,463.0,0.679361,279.0,572.0,0.47851378,213.0,542.0,0.6840437,373.0,744.0,0.26449588,181.0,782.0,0.73892754,360.0,580.0,0.78020203,401.0,785.0,0.2771665,194.0,857.0,0.3260682,115.0,883.0,0.6819396,430.0,911.0,0.3722913,408.0,943.0,0.6760323,581.0,1141.0,0.27476636,592.0,1228.0,0.5303606,0,chin_on_hand
chin_on_hand\Frame_135.jpg,387.0,527.0,0.5650162,387.0,505.0,0.5464592,383.0,497.0,0.68500185,337.0,474.0,0.44013298,322.0,460.0,0.6645267,283.0,577.0,0.32488522,213.0,543.0,0.61049116,343.0,749.0,0.28067458,180.0,781.0,0.7368245,357.0,580.0,0.6307219,398.0,781.0,0.2760967,214.0,856.0,0.4871147,122.0,880.0,0.59824944,478.0,900.0,0.13896818,408.0,944.0,0.6289704,594.0,1131.0,0.5366993,585.0,1226.0,0.61999416,0,chin_on_hand
chin_on_hand\Frame_136.jpg,389.0,525.0,0.5551131,388.0,504.0,0.52291507,383.0,495.0,0.69491506,337.0,477.0,0.2781681,320.0,461.0,0.62172973,282.0,577.0,0.3216609,213.0,543.0,0.62361467,365.0,745.0,0.27643418,179.0,781.0,0.6949191,358.0,582.0,0.6919931,398.0,784.0,0.24922858,204.0,857.0,0.39420784,117.0,882.0,0.6554971,430.0,914.0,0.36923373,405.0,944.0,0.5994787,596.0,1134.0,0.4935771,588.0,1229.0,0.5559159,0,chin_on_hand
chin_on_hand\Frame_138.jpg,387.0,526.0,0.56377745,387.0,506.0,0.6127682,380.0,494.0,0.64984167,336.0,480.0,0.36080286,321.0,458.0,0.6153681,283.0,578.0,0.34253916,217.0,537.0,0.7959074,345.0,748.0,0.2907536,180.0,783.0,0.70873713,359.0,583.0,0.7187731,401.0,788.0,0.23692964,197.0,857.0,0.27911258,118.0,881.0,0.6365077,431.0,912.0,0.34606194,408.0,946.0,0.6161358,595.0,1135.0,0.48784184,591.0,1228.0,0.54514766,0,chin_on_hand
chin_on_hand\Frame_139.jpg,389.0,534.0,0.55283487,388.0,507.0,0.6248703,383.0,502.0,0.72363245,334.0,472.0,0.53712136,323.0,462.0,0.9047514,304.0,573.0,0.54134005,214.0,536.0,0.8802781,333.0,755.0,0.2971418,186.0,789.0,0.8055756,398.0,762.0,0.29456437,404.0,777.0,0.42050615,200.0,869.0,0.68054724,104.0,889.0,0.87551177,494.0,868.0,0.20205197,415.0,931.0,0.8258482,593.0,1133.0,0.45117724,581.0,1234.0,0.5827768,0,chin_on_hand
chin_on_hand\Frame_14.jpg,386.0,529.0,0.5450239,386.0,507.0,0.57832396,383.0,499.0,0.66456246,338.0,477.0,0.44824854,322.0,459.0,0.6382705,263.0,559.0,0.5076061,220.0,539.0,0.73144937,340.0,746.0,0.23529646,178.0,778.0,0.7162714,402.0,760.0,0.28596345,397.0,779.0,0.25364494,199.0,861.0,0.44980615,120.0,886.0,0.66244006,480.0,886.0,0.1300099,412.0,948.0,0.6699511,583.0,1125.0,0.46999457,589.0,1229.0,0.6178135,0,chin_on_hand
chin_on_hand\Frame_141.jpg,386.0,526.0,0.5401883,387.0,506.0,0.5529885,381.0,496.0,0.6462742,338.0,479.0,0.29211697,322.0,460.0,0.59693134,282.0,578.0,0.3075925,217.0,543.0,0.8113497,366.0,743.0,0.2585014,182.0,782.0,0.7530594,358.0,579.0,0.7039209,398.0,782.0,0.23160127,219.0,855.0,0.3801977,133.0,880.0,0.57138515,456.0,898.0,0.24768162,408.0,944.0,0.58570445,583.0,1125.0,0.44973046,590.0,1229.0,0.55876577,0,chin_on_hand
chin_on_hand\Frame_142.jpg,390.0,534.0,0.54631734,390.0,507.0,0.7259271,382.0,500.0,0.48830247,340.0,475.0,0.69483614,324.0,464.0,0.8874776,305.0,575.0,0.5223775,215.0,534.0,0.824139,354.0,751.0,0.2993454,185.0,790.0,0.7794955,360.0,585.0,0.800783,402.0,775.0,0.47771707,196.0,867.0,0.6354729,106.0,889.0,0.87320423,421.0,910.0,0.6089816,413.0,929.0,0.8155727,587.0,1133.0,0.47458693,576.0,1219.0,0.56270516,0,chin_on_hand
chin_on_hand\Frame_143.jpg,385.0,528.0,0.5693388,386.0,507.0,0.6280428,381.0,496.0,0.6636162,337.0,479.0,0.32759762,322.0,459.0,0.60469174,282.0,577.0,0.3219841,214.0,544.0,0.65354884,368.0,745.0,0.2851972,180.0,782.0,0.74036884,359.0,578.0,0.72696996,397.0,783.0,0.24518041,206.0,856.0,0.35205242,121.0,879.0,0.6079523,431.0,906.0,0.38007888,409.0,940.0,0.6354804,593.0,1134.0,0.51854146,588.0,1229.0,0.57814336,0,chin_on_hand
chin_on_hand\Frame_144.jpg,386.0,528.0,0.56939214,387.0,508.0,0.6440859,382.0,497.0,0.66593313,335.0,479.0,0.32992256,319.0,459.0,0.58407724,275.0,571.0,0.38401777,219.0,538.0,0.7446834,345.0,748.0,0.28278035,181.0,782.0,0.73465645,359.0,580.0,0.68370605,401.0,780.0,0.26993278,206.0,846.0,0.44967535,122.0,875.0,0.510743,455.0,894.0,0.25858834,411.0,944.0,0.67465234,580.0,1128.0,0.48196006,588.0,1229.0,0.53146535,0,chin_on_hand
chin_on_hand\Frame_146.jpg,384.0,530.0,0.57378507,387.0,508.0,0.6333599,381.0,499.0,0.6163063,336.0,479.0,0.32368872,318.0,460.0,0.5740417,284.0,577.0,0.3060359,219.0,538.0,0.7402289,371.0,744.0,0.2798741,181.0,783.0,0.7355939,360.0,581.0,0.7162641,403.0,781.0,0.26847848,205.0,859.0,0.40287024,120.0,884.0,0.6604636,431.0,907.0,0.40044093,410.0,940.0,0.60186404,598.0,1135.0,0.4897087,587.0,1228.0,0.6175295,0,chin_on_hand
chin_on_hand\Frame_147.jpg,387.0,526.0,0.54691625,389.0,506.0,0.5206767,381.0,495.0,0.62881124,343.0,480.0,0.28199092,322.0,458.0,0.56150126,283.0,577.0,0.27888754,218.0,541.0,0.7511236,369.0,745.0,0.26475424,180.0,780.0,0.6894082,359.0,581.0,0.683327,403.0,784.0,0.24610315,216.0,859.0,0.45582563,127.0,885.0,0.6228099,432.0,915.0,0.38618404,407.0,946.0,0.5893758,599.0,1138.0,0.49126613,588.0,1229.0,0.56057143,0,chin_on_hand
chin_on_hand\Frame_149.jpg,384.0,530.0,0.5807886,386.0,507.0,0.6419595,380.0,497.0,0.6372918,336.0,479.0,0.34063637,321.0,459.0,0.60823715,265.0,559.0,0.5665547,214.0,543.0,0.6335373,374.0,743.0,0.27736956,180.0,783.0,0.7360356,361.0,580.0,0.74589634,402.0,780.0,0.2457086,205.0,856.0,0.36815685,119.0,883.0,0.6455499,431.0,906.0,0.3932607,409.0,942.0,0.6427238,597.0,1134.0,0.5077807,587.0,1226.0,0.60440445,0,chin_on_hand
chin_on_hand\Frame_15.jpg,385.0,529.0,0.5372682,386.0,507.0,0.55574393,383.0,499.0,0.6491573,339.0,476.0,0.41810623,321.0,460.0,0.62596023,272.0,567.0,0.3289734,220.0,538.0,0.7120586,338.0,728.0,0.24569291,177.0,779.0,0.74104875,402.0,759.0,0.27324787,399.0,778.0,0.29514048,203.0,857.0,0.36929575,126.0,882.0,0.62644494,479.0,889.0,0.14649299,411.0,945.0,0.6508509,583.0,1126.0,0.47125372,588.0,1229.0,0.5980019,0,chin_on_hand
chin_on_hand\Frame_150.jpg,386.0,526.0,0.5337999,390.0,507.0,0.48927155,380.0,495.0,0.5768462,349.0,485.0,0.27373496,322.0,460.0,0.56750894,294.0,588.0,0.23405217,217.0,547.0,0.754863,376.0,746.0,0.24716322,180.0,781.0,0.62170625,361.0,582.0,0.679616,396.0,785.0,0.22158322,218.0,858.0,0.40130305,128.0,884.0,0.5843339,433.0,910.0,0.3374041,405.0,944.0,0.56152225,598.0,1139.0,0.41608125,587.0,1229.0,0.550019,0,chin_on_hand
chin_on_hand\Frame_151.jpg,387.0,526.0,0.55738676,388.0,507.0,0.58230007,381.0,495.0,0.6482516,338.0,480.0,0.32470456,322.0,459.0,0.58748317,281.0,573.0,0.40670258,213.0,544.0,0.6433989,371.0,745.0,0.30093035,181.0,783.0,0.7183554,360.0,580.0,0.685117,398.0,783.0,0.23179781,215.0,857.0,0.46618795,122.0,880.0,0.5942286,433.0,909.0,0.40016282,409.0,943.0,0.62928617,583.0,1141.0,0.2394502,588.0,1228.0,0.55171233,0,chin_on_hand
